Old_names,Old_logfoldchanges,Old_pvals,Old_pvals_adj,Young_names,Young_logfoldchanges,Young_pvals,Young_pvals_adj
Crat,,3.3796849605775537e-05,0.0006581137778955495,Nuak1,,0.022532726024623275,0.1354732560067212
Ndufaf5,,3.407289570735567e-05,0.0006602045237553965,Rapgef5,,0.02267770079871216,0.13613576829165552
D10Jhu81e,,3.5047147818925576e-05,0.000674111518445364,Gpihbp1,,0.023287940818633494,0.13873516037158523
Xirp2,,3.513509191692751e-05,0.000674111518445364,Bcl2l11,,0.023653584766268117,0.1404857826633891
Prdx3,,3.7407524499440024e-05,0.0007142100043454061,Gpc3,,0.023731482155529685,0.14073488054051997
Mlycd,,4.092502259838067e-05,0.0007775754293692328,Rnpc3,,0.023824703417902212,0.141073962447306
Art1,,4.4846582621942584e-05,0.0008411943402816898,Cul2,,0.02409899318235721,0.142053402583955
Actn2,,4.736046916963538e-05,0.0008767292608100321,Kif13a,,0.02417746548062688,0.1422801857649805
Mrps36,,4.7487634974891875e-05,0.0008767292608100321,Chek2,,0.02421016957574783,0.1422801857649805
Ccng1,,4.790060712840292e-05,0.0008783979794975393,Lrrc32,,0.025336106371734012,0.1484513777529445
Fam96a,,4.802686959950777e-05,0.0008783979794975393,Fam98a,,0.025552714927924984,0.14927362123566923
Ckmt2,,5.0257870094382906e-05,0.0009149269932530917,Prkcg,,0.02568945699958257,0.1498487849424235
Ap4s1,,5.0734414811221036e-05,0.0009193263869033293,Cd44,,0.025945614348777655,0.1506693391114477
Apod,,5.213445197197858e-05,0.0009360286468730467,Gimap6,,0.02794760096289267,0.16110001497608528
Tmod4,,5.263777735909186e-05,0.000940750048326418,Sertad3,,0.028244541550347505,0.16257225827655902
Asb11,,5.886975211554791e-05,0.0010379108548660113,Rassf9,,0.028387636598194464,0.16315596130004864
Klf15,,6.150844151126273e-05,0.0010795696864353468,Zfp979,,0.02991213859993898,0.16992178589283186
Dpep1,,6.56903334567145e-05,0.0011427198451092468,Adcy6,,0.030572683765972303,0.1724228879827314
Nmrk2,,6.82206769977674e-05,0.001181485529952485,Bend7,,0.030698935602418417,0.17280086496867184
Mrpl54,,7.210935458701009e-05,0.0012324716762164081,Zeb2,,0.03115689630044345,0.1744607898711526
Dcun1d5,,7.967400656693247e-05,0.0013558437465346683,Ptpre,,0.03156859035647309,0.17626171562801093
Hspb7,,8.038876633138572e-05,0.0013620849845066827,Esam,,0.0332257510593509,0.18419076973452522
Fastk,,8.274667660175132e-05,0.0013959935009450633,Gimap8,,0.03399179120547644,0.1878431618934358
Klhl41,,8.825971965696947e-05,0.0014743187672257075,Casz1,,0.034314345261230894,0.18916386951050382
Slirp,,8.85193945574965e-05,0.0014743187672257075,Bcor,,0.034772404254158056,0.19141939557070972
Cdk2ap2,,9.989821723877883e-05,0.001642863959128489,Cep68,,0.036410773557705424,0.19903878171069697
Ndufa9,,0.00010646073162122581,0.001736197098189491,Ephb4,,0.0367199209853611,0.19989119713032455
Cxcl14,,0.00010736147324586958,0.0017436216028395583,Gm26532,,0.03718456110803085,0.20121590343974244
Tuba8,,0.00010879640297470156,0.0017542924995818186,Bmp2k,,0.03752566293794731,0.2017847161192187
Josd2,,0.00010891494057189115,0.0017542924995818186,Eif2ak1,,0.03777545262338931,0.20242813985111843
Cib2,,0.00010979541551521456,0.0017612264603547123,Col12a1,,0.03810933402218039,0.20377040076887165
Myh4,,0.00011063244092515096,0.0017674096889022074,Plau,,0.038705394196205986,0.20639361428331093
Cox7a1,,0.00011383229048469174,0.0018111365242157863,Afap1l1,,0.03911188238697081,0.2079944397589725
Nol3,,0.00011525998911913037,0.001826427519887758,Cdkn1c,,0.039686627032381294,0.21019412476960808
Chchd3,,0.00012939914843283697,0.0020178018604228042,Nos3,,0.04031109461955352,0.2125538384182535
Myf6,,0.0001330512477683774,0.0020665181895453536,Crlf1,,0.04034938731342932,0.2125538384182535
Ifit3,,0.00014507734348359448,0.002222158851885167,Ednrb,,0.04076393787493014,0.2144489957560169
Atp1a2,,0.00014534304192197314,0.002222158851885167,Mgll,,0.041082282013453715,0.2152921242892915
Pdcd5,,0.00014815077221351806,0.002256272849975524,Nr4a1,,0.04240999560454901,0.2205237856583627
Pdlim5,,0.00015520531067340245,0.0023545487828515394,Aqp7,,0.042722756410361454,0.22099486198337107
Mapkapk2,,0.00015638936717562557,0.0023633512861984496,Mcf2l,,0.04274541371099422,0.22099486198337107
Uchl3,,0.0001646451744477544,0.0024785431261096567,Dysf,,0.044018919729426786,0.22610243021125517
Pigp,,0.00016664405459918083,0.0024990223360199,Sept10,,0.04489918126938034,0.2300201511627679
Pygm,,0.00017911311765703587,0.0026757585591970926,Id1,,0.04563414972737483,0.23333273024960946
Tmem176b,,0.00019231202033206574,0.0028356377395555555,Pdgfb,,0.04568027010317853,0.23333273024960946
Acot13,,0.00019304345285329726,0.0028356377395555555,Hoxb4,,0.04572463058289485,0.23333273024960946
Akt1s1,,0.00019870665961816862,0.0029020069617369847,Pdgfrl,,0.04613457338099699,0.23348044862713224
Mt1,,0.00019964006950195628,0.002904800119073074,Arhgap23,,0.04622831016938143,0.23348044862713224
Mrps18a,,0.00020412359957097654,0.002959036180447415,Sept6,,0.04635010439020995,0.23348044862713224
Cacnb1,,0.00020926743203719347,0.0030130724737730424,Etv3,,0.04749683616971899,0.23833668816446169
Mpp6,,0.00020939083108489207,0.0030130724737730424,Nus1,,0.04847362524523205,0.24230621865879723
1190007I07Rik,,0.00021685967496596476,0.0031091163656292533,AU019823,,0.048543586338330974,0.24234642465335132
Ifi47,,0.00022575764086481972,0.0031994582929312024,Atad2b,,0.04877676946640685,0.24289093599429568
Nrap,,0.00022634712138510377,0.0031994582929312024,Pgm5,,0.049448011291473276,0.24529723218609176
Mylk2,,0.0002264307478645741,0.0031994582929312024,Ptprf,,0.04982132382590864,0.2466326840720392
Tnfaip2,,0.0002407062665578656,0.0033768628019943347,Cyb5r1,,0.051613867622424696,0.2541090287725412
Asnsd1,,0.00024071147719888076,0.0033768628019943347,Dot1l,,0.05177940889760256,0.25428432424744846
Synpo2,,0.0002448822922522014,0.0034231046138397015,Fam212b,,0.05208572754969226,0.25546809226753825
1110008P14Rik,,0.000247575532904825,0.0034484364262970997,Trib2,,0.053206908505061615,0.2599898125952699
Bccip,,0.0002498860672579938,0.0034682768342120134,Tspan14,,0.0542795889540113,0.26391343001987605
Mgst3,,0.0002570116257812636,0.003540600111029618,Ipo8,,0.05458359813587367,0.26437232635123226
Tmod1,,0.00026788804815784043,0.0036661322394747815,Pde3a,,0.05464415227852501,0.26437232635123226
Stac3,,0.00027408341144076015,0.0037315939448425038,Arap2,,0.0548121868544047,0.26484556181594016
Nexn,,0.0002745781952260197,0.0037315939448425038,Spast,,0.05584719174263872,0.26729798408508704
Ddit4l,,0.00027773727620495286,0.003761466086734206,Igf1,,0.05585711989881814,0.26729798408508704
Mrpl21,,0.00027929661146881596,0.00376954116306533,Sybu,,0.056783290353074146,0.2700483577666248
Isg15,,0.00029031957887637786,0.0039048482189764366,Gnb4,,0.05913652268413546,0.27792297221966994
Ndufc1,,0.0002933906919945405,0.003932640987899423,Usf3,,0.05931373385434231,0.27804965556850536
Smim26,,0.00031470238116291247,0.00419389187234907,Rel,,0.060015697811667094,0.28031198238050714
Mrps15,,0.0003150240701253517,0.00419389187234907,Crot,,0.062163032627279076,0.2882773811648937
2310040G24Rik,,0.00031652262474200023,0.00419955780759386,Fgf9,,0.062292579924525776,0.2885362814492235
Bola3,,0.00031919340627165543,0.0042206857842812815,Bcas3,,0.062489265605785736,0.28878213262857727
Mcrip2,,0.00033948607227074013,0.0044588875398244195,Dcaf6,,0.06250172147510168,0.28878213262857727
8430408G22Rik,,0.00034652892439733773,0.0045361679267263534,Chodl,,0.06267631935949725,0.28878213262857727
Cst6,,0.0003612017626886281,0.004712478997210967,Flrt3,,0.06364225070802988,0.292023176167912
Aamdc,,0.0004298999220261081,0.0055532286957431926,Chrdl1,,0.06386622501157292,0.2923653856085338
Immp1l,,0.00043896373937381673,0.005624316705043489,Fbxl18,,0.06405906127365277,0.29290556755265995
Ndufs8,,0.000439714080670237,0.005624316705043489,Gem,,0.06486812902362897,0.2959135862453191
Bnip3,,0.00046102467224610897,0.00587768914388036,Tmem255b,,0.06537392317823046,0.2968370479345638
Tmem38b,,0.0004646559191509166,0.005904750868690544,Flnc,,0.06639936105080163,0.3011437997136009
Cd274,,0.00046775082982905217,0.005924843844501328,Bcr,,0.06701634010658265,0.3025397406887711
Hspb2,,0.0004767857870849149,0.006019805066614055,B930036N10Rik,,0.06755165585715817,0.30358573355096097
Timm10,,0.0005178435231334315,0.006434411268394447,Ubap2,,0.0677669313956663,0.3041503965987446
Smarcd3,,0.0005449144746331522,0.006688418955165523,Hoxa5,,0.06797359253041789,0.30440347959274094
Fuom,,0.0005460677427682009,0.006688418955165523,Hhex,,0.0705096676892954,0.31360777197261613
Mettl22,,0.0005468303693543606,0.006688418955165523,Unc5b,,0.07297502818638467,0.32201156744251364
Aldh1a1,,0.000557577567832348,0.006777511181664007,Ptprk,,0.07326291963702206,0.32291786876047784
Dnlz,,0.0005711801182713141,0.0069213590802288645,Dixdc1,,0.07365059566229977,0.3242614526684379
Klhl31,,0.0005892642230070755,0.007118457311264486,Sdccag8,,0.07442109407110795,0.32643036296604644
Smim20,,0.0006020729716323883,0.007250811110674362,Stmn1,,0.07505145365041088,0.32784753302199576
Nudt2,,0.0006070261863701383,0.007288038323474605,Slc20a1,,0.0753841564711334,0.3283285368806142
Gadd45g,,0.0006225320249792431,0.00742862910295353,Rpia,,0.07613004525657753,0.33086878239929923
S100a8,,0.0006302366585347074,0.007497709062324756,Tsc22d1,,0.07702509770013109,0.33349140752025785
Bola1,,0.0006368261485003839,0.007530324910061941,Thy1,,0.07769757832983455,0.33603129456682035
Bpgm,,0.0006505407101366329,0.0076693263237192204,Drp2,,0.07974755974688992,0.3430021415926672
4930453N24Rik,,0.0006602101749398628,0.007759947821965835,Tfdp2,,0.08082014971327453,0.34609416408944915
Slfn2,,0.0006693491050297588,0.00784004248303079,Cpeb2,,0.08144396353219534,0.34800401011464255
Trf,,0.0006710307183994161,0.00784004248303079,Lpar6,,0.08185779752102929,0.3482515429318572
Lgmn,,0.0007393745997161474,0.008612833878836311,Pik3c2b,,0.08226260943307784,0.34959376039203766
